"table","label","item","bold"
"1.1","Goods Output","Goods Output at Producer Prices",""
"1.1","Intermediate Consumption","Intermediate Consumption",""
"1.1","Net Subsidies","Net Subsidies",""
"1.1","Operating Surplus","Operating Surplus",""
"1.2","Livestock","All Livestock","TRUE"
"1.2","Cattle","Cattle",""
"1.2","Pigs","Pigs",""
"1.2","Sheep","Sheep",""
"1.2","Horses","Horses",""
"1.2","Poultry","Poultry",""
"1.2","","",""
"1.2","Livestock Products","All Livestock Products","TRUE"
"1.2","Milk","Milk",""
"1.2","Other Livestock Products","Other Products",""
"1.2","","",""
"1.2","Crops","All Crops","TRUE"
"1.2","Cereals","Cereals",""
"1.2","Potatoes","Potatoes",""
"1.2","Forage Plants","Forage Plants - Output",""
"1.2","Fresh Vegetables","Vegetables",""
"1.2","Fresh Fruit","Fresh Fruit",""
"1.2","Other Crops","Other Crops",""
"1.2","","",""
"1.2","Goods Output at Producer Prices","Goods Output at Producer Prices","TRUE"
"1.2","","",""
"1.2","Contract Work","Contract Work - Output",""
"1.2","","",""
"1.2","Subsidies on Products less Taxes on Products","Net Subsidies on Products",""
"1.2","","",""
"1.2","Agricultural Output at Basic Prices","Agricultural Output at Basic Prices","TRUE"
"1.2","","",""
"1.2","Intermediate Consumption","Intermediate Consumption","TRUE"
"1.2","Feeding Stuffs","Feedingstuffs",""
"1.2","Fertilisers","Fertilisers",""
"1.2","FISIM²","Financial Intermediation Services Indirectly Measured (FISIM)",""
"1.2","Seeds","Seeds",""
"1.2","Maintenance & Repairs","Maintenance and Repairs",""
"1.2","Other Goods & Services","Other Goods and Services",""
"1.2","Crop Protection Products","Crop Protection Products",""
"1.2","Veterinary Expenses","Veterinary Expenses",""
"1.2","Energy & Lubricants","Energy and Lubricants",""
"1.2","Forage Plants","Forage Plants - Consumption",""
"1.2","Contract Work","Contract Work - Expenditure",""
"1.2","","",""
"1.2","Gross Value Added at Basic Prices","Gross Value Added at Basic Prices","TRUE"
"1.2","","",""
"1.2","Fixed Capital Consumption","Fixed Capital Consumption",""
"1.2","","",""
"1.2","Net Value Added at Basic Prices","Net Value Added at Basic Prices","TRUE"
"1.2","","",""
"1.2","Other Subsidies less Taxes on Production","Net Subsidies on Production: Other Subsidies Less Taxes on Production",""
"1.2","","",""
"1.2","Factor Income","Factor Income","TRUE"
"1.2","","",""
"1.2","Compensation of Employees","Compensation of Employees",""
"1.2","","",""
"1.2","Operating Surplus","Operating Surplus","TRUE"
"1.2","","",""
"1.2","Land Rental","Land Rental",""
"1.2","Net Interest³","Net Interest",""
"1.2","","",""
"1.2","Entrepreneurial Income","Entrepreneurial Income","TRUE"
"1.3","Livestock","All Livestock",""
"1.3","Livestock\nProducts","All Livestock Products",""
"1.3","Crops","All Crops",""
"1.3","Goods Output\nat Producer\nPrices","Goods Output at Producer Prices",""
"1.3","Agricultural\nOutput at\nBasic Prices","Agricultural Output at Basic Prices",""
"1.3","Intermediate\nConsumption","Intermediate Consumption",""
"1.3","Gross Value\nAdded at\nBasic Prices","Gross Value Added at Basic Prices",""
"1.3","Net\nSubsidies¹","Net Subsidies",""
"1.3","Operating\nSurplus","Operating Surplus",""
"1.3","Entrepreneurial\nIncome","Entrepreneurial Income",""
"1.4","Net Subsidies","Net Subsidies",""
"1.4","Operating Surplus","Operating Surplus",""
"1.4","Net Subsidies as a % of Operating Surplus","Net Subsidies as a % of Operating Surplus",""
